,diff_AVAR2,diff_CVAR2,diff_AWT2,diff_CWT2,diff_total2,diff_totalA,diff_totalC,diff_totalWT,diff_totalVar,diff_AbyC,diff_CbyA,InfLevels
15,-7.7,-0.52,0.0,0.0,-8.219999999999999,-7.7,-0.52,0.0,-8.219999999999999,207.7037037037037,-0.039528380185765065,high
16,0.8300000000000001,-0.09,0.0,0.0,0.7399999999999984,0.8300000000000001,-0.09,0.0,0.7399999999999984,inf,-0.007425742574257426,high
17,0.0,0.0,-2.9700000000000006,0.3,-2.6700000000000004,-2.9700000000000006,0.3,-2.6700000000000004,0.0,-inf,0.08547008547008547,high
18,0.41000000000000014,0.07,0.0,0.0,0.4800000000000004,0.40999999999999925,0.07,0.0,0.4800000000000004,-66.75641025641028,0.008151476251604622,high
19,0.0,0.0,-1.8299999999999998,0.09,-1.7399999999999998,-1.8299999999999998,0.09,-1.7399999999999998,0.0,-inf,0.05172413793103448,high
20,-0.65,-0.02,-0.9299999999999999,0.02,-1.5800000000000003,-1.58,0.0,-0.9099999999999999,-0.67,-26.333333333333332,0.023966628744785737,high
21,-2.7399999999999998,-0.10999999999999999,0.0,0.0,-2.85,-2.7399999999999998,-0.10999999999999999,0.0,-2.85,24.26666666666666,-0.012402889464358729,low
22,-0.5399999999999998,0.10999999999999999,-0.82,-0.02,-1.27,-1.3599999999999999,0.09000000000000001,-0.84,-0.42999999999999994,-33.47794117647059,0.047493871590257135,low
23,0.0,0.0,0.08000000000000007,-0.06999999999999999,0.009999999999999787,0.08000000000000007,-0.06999999999999999,0.009999999999999787,0.0,112.11111111111111,-0.025381093726417468,low
24,0.0,-0.11,-0.62,0.02,-0.71,-0.6200000000000001,-0.09,-0.6000000000000001,-0.10999999999999999,13.590909090909086,-0.058364239703298834,high
25,0.0,0.0,-0.8,0.02,-0.78,-0.8,0.02,-0.78,0.0,-44.75,0.19032429558745348,high
26,0.0,0.0,-0.30000000000000004,0.0,-0.30000000000000004,-0.30000000000000004,0.0,-0.30000000000000004,0.0,,0.0,low
27,0.0,0.0,-0.8600000000000001,-0.04,-0.9000000000000001,-0.8600000000000001,-0.04,-0.9000000000000001,0.0,inf,-0.03007518796992481,low
28,0.0,0.0,-0.4099999999999999,-0.02,-0.42999999999999994,-0.4099999999999999,-0.02,-0.42999999999999994,0.0,inf,-0.020618556701030927,low
29,-0.03999999999999998,0.02,0.0,0.0,-0.020000000000000018,-0.040000000000000036,0.02,0.0,-0.020000000000000018,-17.5,0.03421309872922776,low
